plot,type,Code,rep
2,Plug,ML,ML.7316.rep1
10,Seed,LL,LL.653844.rep1
14,Seed,HL,HL.246518.rep1
15,Plug,HH,HH.1372866.rep1
22,Plug,MH,MH.1825752.rep1
23,Seed,ML,ML.1623993.rep1
24,Plug,LH,LH.1211957.rep1
26,Seed,ML,ML.520465.rep1
28,Seed,LH,LH.1211957.rep1
31,Seed,HH,HH.1374866.rep1
35,Plug,MH,MH.928535.rep1
36,Plug,HH,HH.782981.rep1
37,Seed,LL,LL.1368877.rep1
42,Plug,ML,ML.520465.rep1
45,Seed,MH,MH.928535.rep1
47,Plug,MH,MH.831258.rep1
49,Seed,MH,MH.831258.rep1
50,Seed,HL,HL.456657.rep1
55,Seed,LH,LH.389271.rep1
60,Plug,HL,HL.456657.rep1
61,Plug,HL,HL.246518.rep1
64,Seed,HH,HH.782981.rep1
70,Seed,LH,LH.1417663.rep1
74,Seed,LL,LL.305726.rep1
78,Plug,LH,LH.389271.rep1
79,Plug,HH,HH.1018148.rep1
82,Plug,LL,LL.305726.rep1
85,Seed,HH,HH.1124950.rep1
87,Plug,LH,LH.1417663.rep1
88,Plug,LL,LL.1091767.rep1
90,Seed,LL,LL.1091767.rep1
92,Plug,LH,LH.1773854.rep1
94,Plug,MH,MH.1666090.rep1
95,Plug,HH,HH.1124950.rep1
96,Plug,ML,ML.975885.rep1
98,Seed,MH,MH.1825752.rep1
99,Seed,LH,LH.1773854.rep1
102,Seed,HL,HL.1403369.rep1
104,Seed,ML,ML.975885.rep1
105,Plug,ML,ML.1623993.rep1
110,Seed,HH,HH.1018148.rep1
112,Seed,HL,HL.1338677.rep1
116,Seed,ML,ML.7316.rep1
120,Plug,HL,HL.1338677.rep1
124,Plug,LL,LL.653844.rep1
128,Plug,LL,LL.1368877.rep1
135,Plug,HL,HL.1403369.rep1
138,Seed,MH,MH.1666090.rep1
147,Seed,LH,LH.236970.rep1
148,Plug,ML,ML.585975.rep1
150,Seed,HL,HL.1817876.rep1
151,Seed,HH,HH.623705.rep1
152,Plug,LH,LH.1681808.rep1
154,Seed,HL,HL.275733.rep1
159,Plug,LL,LL.567931.rep1
160,Plug,MH,MH.1987913.rep1
163,Plug,HH,HH.1709432.rep1
171,Seed,LL,LL.660073.rep1
172,Plug,MH,MH.75072.rep1
174,Plug,HH,HH.623705.rep1
181,Plug,LH,LH.236970.rep1
182,Seed,LH,LH.1681808.rep1
185,Seed,ML,ML.628076.rep1
188,Plug,HL,HL.1817876.rep1
192,Seed,MH,MH.1987913.rep1
195,Seed,HH,HH.1709432.rep1
196,Seed,MH,MH.75072.rep1
199,Plug,ML,ML.628076.rep1
201,Seed,ML,ML.585975.rep1
205,Plug,LL,LL.660073.rep1
211,Plug,HL,HL.275733.rep1
215,Seed,LL,LL.567931.rep1
219,Plug,HL,HL.1403369.rep2
222,Seed,HH,HH.1018148.rep2
223,Plug,LH,LH.1211957.rep2
224,Seed,LH,LH.1211957.rep2
226,Seed,HL,HL.275733.rep2
230,Plug,ML,ML.585975.rep2
234,Plug,LH,LH.1773854.rep2
238,Seed,LH,LH.1773854.rep2
240,Plug,LL,LL.1368877.rep2
246,Seed,MH,MH.1666090.rep2
253,Seed,HH,HH.1709432.rep2
259,Seed,LL,LL.1368877.rep2
266,Plug,MH,MH.1825752.rep2
268,Seed,MH,MH.1825752.rep2
270,Seed,HL,HL.1403369.rep2
271,Plug,LL,LL.653844.rep2
273,Plug,ML,ML.1623993.rep2
277,Seed,LL,LL.653844.rep2
278,Plug,MH,MH.1666090.rep2
281,Plug,HH,HH.1018148.rep2
284,Plug,HH,HH.1709432.rep2
286,Seed,ML,ML.1623993.rep2
287,Seed,ML,ML.585975.rep2
288,Plug,HL,HL.275733.rep2
291,Plug,LL,LL.567931.rep2
292,Seed,HL,HL.1338677.rep2
293,Seed,HL,HL.246518.rep2
295,Seed,ML,ML.628076.rep2
296,Plug,LL,LL.660073.rep2
300,Plug,MH,MH.75072.rep2
305,Seed,LH,LH.389271.rep2
309,Plug,ML,ML.975885.rep2
312,Seed,HH,HH.1124950.rep2
315,Seed,ML,ML.975885.rep2
316,Seed,LH,LH.1681808.rep2
318,Plug,HL,HL.1338677.rep2
319,Plug,MH,MH.928535.rep2
320,Plug,ML,ML.628076.rep2
321,Plug,LH,LH.389271.rep2
323,Plug,HH,HH.623705.rep2
331,Seed,MH,MH.75072.rep2
333,Plug,LH,LH.1681808.rep2
335,Seed,LL,LL.660073.rep2
337,Seed,LL,LL.567931.rep2
346,Plug,HL,HL.246518.rep2
354,Seed,MH,MH.928535.rep2
355,Seed,HH,HH.623705.rep2
356,Plug,HH,HH.1124950.rep2
364,Seed,MH,MH.1987913.rep2
365,Seed,LH,LH.236970.rep2
368,Plug,HL,HL.456657.rep2
369,Plug,LL,LL.305726.rep2
374,Seed,ML,ML.7316.rep2
376,Seed,LL,LL.1091767.rep2
379,Plug,HH,HH.1374866.rep2
380,Plug,MH,MH.1987913.rep2
381,Plug,ML,ML.7316.rep2
383,Seed,HL,HL.1817876.rep2
387,Seed,HL,HL.456657.rep2
389,Seed,ML,ML.520465.rep2
392,Plug,MH,MH.831258.rep2
395,Seed,HH,HH.1374866.rep2
396,Plug,HH,HH.782981.rep2
397,Plug,LH,LH.236970.rep2
398,Seed,LL,LL.305726.rep2
402,Seed,MH,MH.831258.rep2
412,Plug,ML,ML.520465.rep2
414,Plug,LH,LH.1417663.rep2
418,Seed,LH,LH.1417663.rep2
424,Plug,LL,LL.1091767.rep2
426,Seed,HH,HH.782981.rep2
429,Plug,HL,HL.1817876.rep2